Year,CO2 (Million Tons)
1751,3
1752,3
1753,3
1754,3
1755,3
1756,3
1757,3
1758,3
1759,3
1760,3
1761,3
1762,3
1763,3
1764,3
1765,3
1766,3
1767,3
1768,3
1769,3
1770,3
1771,4
1772,4
1773,4
1774,4
1775,4
1776,4
1777,4
1778,4
1779,4
1780,4
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
1790,5
1791,6
1792,6
1793,6
1794,6
1795,6
1796,6
1797,7
1798,7
1799,7
1800,8
1801,8
1802,10
1803,9
1804,9
1805,9
1806,10
1807,10
1808,10
1809,10
1810,10
1811,11
1812,11
1813,11
1814,11
1815,12
1816,13
1817,14
1818,14
1819,14
1820,14
1821,14
1822,15
1823,16
1824,16
1825,17
1826,17
1827,18
1828,18
1829,18
1830,24
1831,23
1832,23
1833,24
1834,24
1835,25
1836,29
1837,29
1838,30
1839,31
1840,33
1841,34
1842,36
1843,37
1844,39
1845,43
1846,43
1847,46
1848,47
1849,50
1850,54
1851,54
1852,57
1853,59
1854,69
1855,71
1856,76
1857,77
1858,78
1859,83
1860,91
1861,95
1862,97
1863,104
1864,112
1865,119
1866,122
1867,130
1868,135
1869,142
1870,147
1871,156
1872,173
1873,184
1874,174
1875,188
1876,191
1877,194
1878,196
1879,210
1880,236
1881,243
1882,256
1883,272
1884,275
1885,277
1886,281
1887,295
1888,327
1889,327
1890,356
1891,372
1892,374
1893,370
1894,383
1895,406
1896,419
1897,440
1898,465
1899,507
1900,534
1901,552
1902,566
1903,617
1904,624
1905,663
1906,707
1907,784
1908,750
1909,785
1910,819
1911,836
1912,879
1913,943
1914,850
1915,838
1916,901
1917,955
1918,936
1919,806
1920,932
1921,803
1922,845
1923,970
1924,963
1925,975
1926,983
1927,"1,062"
1928,"1,065"
1929,"1,145"
1930,"1,053"
1931,940
1932,847
1933,893
1934,973
1935,"1,027"
1936,"1,130"
1937,"1,209"
1938,"1,142"
1939,"1,192"
1940,"1,299"
1941,"1,334"
1942,"1,342"
1943,"1,391"
1944,"1,383"
1945,"1,160"
1946,"1,238"
1947,"1,392"
1948,"1,469"
1949,"1,419"
1950,"1,630"
1951,"1,767"
1952,"1,795"
1953,"1,841"
1954,"1,865"
1955,"2,042"
1956,"2,177"
1957,"2,270"
1958,"2,330"
1959,"2,454"
1960,"2,569"
1961,"2,580"
1962,"2,686"
1963,"2,833"
1964,"2,995"
1965,"3,130"
1966,"3,288"
1967,"3,393"
1968,"3,566"
1969,"3,780"
1970,"4,053"
1971,"4,208"
1972,"4,376"
1973,"4,614"
1974,"4,623"
1975,"4,596"
1976,"4,864"
1977,"5,026"
1978,"5,087"
1979,"5,369"
1980,"5,315"
1981,"5,152"
1982,"5,113"
1983,"5,094"
1984,"5,280"
1985,"5,439"
1986,"5,607"
1987,"5,752"
1988,"5,965"
1989,"6,097"
1990,"6,127"
1991,"6,217"
1992,"6,164"
1993,"6,162"
1994,"6,266"
1995,"6,398"
1996,"6,542"
1997,"6,651"
1998,"6,643"
1999,"6,610"
2000,"6,765"
2001,"6,927"
2002,"6,996"
2003,"7,416"
2004,"7,807"
2005,"8,093"
2006,"8,370"
2007,"8,566"
2008,"8,783"
2009,"8,740"
2010,"9,167"
2011,"9,453"
2012,"9,647"
2013,"9,882"
